Nom de la société;Symbole;1 semaine;2 mois;6 mois;1 an;3 ans;5 ans
Goldex Resources Corporation;GDX;-0.88%;3.60%;9.49%;11.81%;-3.08%;33.68%
FTI Foodtech International Inc.;FTI;-1.12%;-2.92%;22.10%;62.00%;163.25%;33.26%
Equity Metals Corporation;EQTY;-0.05%;3.03%;9.96%;19.19%;32.11%;32.11%
Silver Predator Corp.;SPD;1.10%;9.20%;14.49%;20.08%;9.17%;31.57%
Euro Manganese Inc.;EMN;-4.71%;2.00%;12.50%;23.35%;-16.83%;29.90%
Eco (Atlantic) Oil & Gas Ltd.;EOG;-1.18%;-10.75%;-1.59%;8.31%;40.60%;29.37%
Aben Minerals Ltd.;ABM;-1.09%;14.04%;11.67%;22.43%;11.26%;28.61%
Decklar Resources Inc.;DKL;0.72%;1.13%;-9.73%;-30.79%;-5.59%;27.93%
FPX Nickel Corp.;FPX;-0.72%;3.51%;6.33%;14.75%;-19.35%;27.10%
American Creek Resources Ltd.;AMK;-0.29%;-3.33%;18.73%;20.23%;28.62%;26.81%
VVC Exploration Corporation;VVC;66.67%;0.00%;-16.67%;0.00%;-58.33%;25.00%
Therma Bright Inc.;THRM;-3.51%;2.59%;0.33%;-10.25%;-26.40%;24.38%
First Atlantic Nickel Corp.;FAN;-2.22%;11.40%;5.23%;-6.07%;-21.88%;24.15%
ARCpoint Inc.;ARC;-2.59%;-0.75%;-12.04%;-12.91%;19.55%;24.06%
Cematrix Corporation;CVX;-0.58%;-5.31%;2.05%;-0.23%;44.58%;22.73%
Gladiator Metals Corp.;GLAD;-0.96%;6.60%;8.49%;17.39%;-0.75%;22.08%
Perimeter Medical Imaging AI, Inc.;PINK;-0.56%;4.64%;15.62%;14.71%;21.38%;21.38%
Green Rise Foods Inc.;GRF;0.54%;-0.74%;-3.41%;7.47%;2.86%;20.65%
Innovotech Inc.;IOT;0.68%;-5.55%;-10.60%;5.00%;19.88%;19.88%
Kingsmen Resources Ltd.;KNG;0.24%;-1.63%;0.27%;-2.48%;-4.25%;18.59%
Canada Nickel Company Inc.;CNC;-1.95%;-12.16%;-8.06%;0.71%;-8.01%;17.78%
Advent-AWI Holdings Inc.;AWI;-0.27%;-0.20%;17.55%;62.44%;8.14%;16.97%
Macarthur Minerals Limited;MMS;-1.07%;7.27%;5.93%;1.78%;-5.33%;16.58%
Lithium Energi Exploration Inc.;LEXI;0.59%;7.29%;11.20%;19.05%;16.51%;16.51%
Minnova Corp.;MCI;3.42%;2.90%;2.84%;20.24%;18.98%;16.15%
Bessor Minerals Inc.;BST;0.72%;12.72%;11.52%;11.72%;-32.48%;15.86%
Scandium Canada Ltd.;SCD;-0.32%;5.11%;14.46%;22.73%;6.19%;15.40%
ALX Resources Corp.;AL;0.43%;-6.52%;14.26%;13.09%;5.15%;15.02%
Giyani Metals Corp.;EMM;2.40%;9.72%;12.87%;10.91%;14.46%;14.46%
Arbor Metals Corp.;ABR;2.05%;9.40%;-9.88%;3.87%;-22.27%;13.77%
Onyx Gold Corp.;ONYX;-1.40%;1.08%;2.18%;5.14%;13.65%;13.65%
Galantas Gold Corporation;GAL;0.11%;4.46%;7.24%;9.99%;-4.97%;13.14%
Generation Uranium Inc.;GEN;-5.34%;14.98%;3.38%;26.80%;-13.92%;13.05%
Katipult Technology Corp.;FUND;-3.02%;-4.28%;-6.46%;-6.58%;-12.14%;12.84%
Solar Alliance Energy Inc.;SOLR;-3.77%;8.31%;3.37%;-9.30%;-9.85%;11.89%
Telo Genomics Corp.;TELO;1.27%;-0.45%;11.60%;11.60%;11.60%;11.60%
Amex Exploration Inc.;AMX;0.83%;-8.18%;-7.73%;-22.57%;9.99%;11.59%
Ostrom Climate Solutions Inc.;COO;-3.32%;1.80%;1.75%;-0.67%;-5.85%;11.48%
American Lithium Corp.;LI;-3.27%;-26.33%;-44.71%;-45.61%;-39.06%;11.48%
Great Pacific Gold Corp.;GPAC;-2.75%;-0.53%;2.53%;7.70%;15.73%;11.37%
Granada Gold Mine Inc.;GGM;-0.24%;5.12%;5.06%;11.14%;11.14%;11.14%
Cascadero Copper Corporation;CCD;-3.50%;3.62%;12.62%;-3.17%;-27.85%;11.05%
Amarc Resources Ltd.;AHR;-1.41%;10.72%;10.97%;10.97%;10.97%;10.97%
Rio2 Limited;RIO;-1.22%;-1.40%;-8.56%;0.50%;-19.28%;9.94%
Sonoro Energy Ltd.;SNV;-0.93%;4.20%;-0.16%;20.71%;-16.64%;9.87%
Bluestone Resources Inc.;BSR;0.00%;3.99%;5.85%;6.47%;9.80%;9.80%
Solstice Gold Corp.;SGC;-7.49%;13.28%;38.93%;122.72%;-21.60%;9.56%
Turmalina Metals Corp.;TBX;-0.74%;-2.31%;3.76%;3.10%;19.92%;9.12%
Signature Resources Ltd.;SGU;-1.91%;2.86%;-13.54%;-23.26%;-4.85%;8.88%
Santacruz Silver Mining Ltd.;SCZ;-1.49%;1.65%;3.18%;4.39%;-16.46%;8.86%
Principal Technologies Inc.;PTEC;-2.77%;4.79%;2.79%;8.40%;8.40%;8.40%
SPC Nickel Corp.;SPC;-0.19%;0.49%;-1.60%;1.17%;7.79%;7.79%
Canalaska Uranium Ltd.;CVV;-3.61%;-8.47%;-18.03%;-46.45%;-5.88%;7.24%
Highland Copper Company Inc.;HI;-3.92%;-13.23%;-9.11%;-19.63%;-2.68%;7.11%
